
SetupTitle, I/V Sweep
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 0
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Function.User.Name, absId, absIg
TestParameter, Function.User.Unit, , 
TestParameter, Function.User.Definition, abs(ID), abs(IG)
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VD
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, 5
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, ID
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, 0.001
TestParameter, Output.Graph.YAxis.Top, 0.01
TestParameter, Output.Graph.YAxis.Group, Group 1
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 2
TestParameter, AutoAnalysis.Line1.Fix, False
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, VG
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, ID
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 04/11/2022 13:44:55
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 64
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, fa474726-d122-4e45-acea-90360161c634
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VD
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 5
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, ID
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, Group 1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1.9E-10
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 3E-05
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 183.33448811842476
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 183.33448811842476
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 183.33448811842476
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 183.33448811842476
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 183.33448811842476
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU3:HR, Name=VD, Direction=Single, Linear/Log=LINEAR, Start=0 V, Stop=5 V, Step=200 mV, No. of Steps=26, Compliance=100 mA, Pwr Comp=OFF	[VAR2] Unit=SMU2:HR, Name=VG, Start=-14 V, Stop=-4 V, Step=200 mV, No. of Steps=51, Compliance=100 uA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU4:HR, Name=VS, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, VG	-14,-13.8,-13.6,-13.4,-13.2,-13,-12.8,-12.6,-12.4,-12.2,-12,-11.8,-11.6,-11.4,-11.2,-11,-10.8,-10.6,-10.4,-10.2,-10,-9.80000000000001,-9.60000000000002,-9.40000000000002,-9.20000000000002,-9.00000000000002,-8.80000000000002,-8.60000000000002,-8.40000000000002,-8.20000000000002,-8.00000000000002,-7.80000000000002,-7.60000000000002,-7.40000000000002,-7.20000000000002,-7.00000000000002,-6.80000000000002,-6.60000000000002,-6.40000000000002,-6.20000000000002,-6.00000000000002,-5.80000000000002,-5.60000000000002,-5.40000000000002,-5.20000000000002,-5.00000000000002,-4.80000000000002,-4.60000000000002,-4.40000000000002,-4.20000000000002,-4.00000000000002	-14	0.2	51
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, I/V Sweep
Dimension1, 26, 26, 26, 26, 26
Dimension2, 51, 51, 51, 51, 51
DataName, VD, IG, ID, absId, absIg
DataValue, 0, -8.4970000000000007E-10, 4.5023000000000006E-10, 4.5023000000000006E-10, 8.4970000000000007E-10
DataValue, 0.2, -8.5992000000000007E-10, 1.5727E-09, 1.5727E-09, 8.5992000000000007E-10
DataValue, 0.4, -8.712900000000001E-10, 2.1383E-09, 2.1383E-09, 8.712900000000001E-10
DataValue, 0.6, -8.8406E-10, 2.4577E-09, 2.4577E-09, 8.8406E-10
DataValue, 0.8, -8.971E-10, 2.6645E-09, 2.6645E-09, 8.971E-10
DataValue, 1, -9.1103000000000011E-10, 2.8244E-09, 2.8244E-09, 9.1103000000000011E-10
DataValue, 1.2, -9.248900000000001E-10, 2.9586E-09, 2.9586E-09, 9.248900000000001E-10
DataValue, 1.4000000000000001, -9.3935E-10, 3.0766E-09, 3.0766E-09, 9.3935E-10
DataValue, 1.6, -9.5393E-10, 3.1882E-09, 3.1882E-09, 9.5393E-10
DataValue, 1.8, -9.6874000000000011E-10, 3.2932E-09, 3.2932E-09, 9.6874000000000011E-10
DataValue, 2, -9.8424000000000011E-10, 3.3863E-09, 3.3863E-09, 9.8424000000000011E-10
DataValue, 2.2, -1.00082E-09, 3.482E-09, 3.482E-09, 1.00082E-09
DataValue, 2.4, -1.01656E-09, 3.5809E-09, 3.5809E-09, 1.01656E-09
DataValue, 2.6, -1.0323400000000002E-09, 3.6624E-09, 3.6624E-09, 1.0323400000000002E-09
DataValue, 2.8000000000000003, -1.04941E-09, 3.7603E-09, 3.7603E-09, 1.04941E-09
DataValue, 3, -1.0667100000000001E-09, 3.8322E-09, 3.8322E-09, 1.0667100000000001E-09
DataValue, 3.2, -1.0829E-09, 3.9107E-09, 3.9107E-09, 1.0829E-09
DataValue, 3.4, -1.10057E-09, 3.9937E-09, 3.9937E-09, 1.10057E-09
DataValue, 3.6, -1.1182300000000002E-09, 4.0764E-09, 4.0764E-09, 1.1182300000000002E-09
DataValue, 3.8000000000000003, -1.13572E-09, 4.128E-09, 4.128E-09, 1.13572E-09
DataValue, 4, -1.1536E-09, 4.2688E-09, 4.2688E-09, 1.1536E-09
DataValue, 4.2, -1.1736E-09, 4.3508E-09, 4.3508E-09, 1.1736E-09
DataValue, 4.4, -1.1924E-09, 4.3988E-09, 4.3988E-09, 1.1924E-09
DataValue, 4.6000000000000005, -1.2106E-09, 4.4903E-09, 4.4903E-09, 1.2106E-09
DataValue, 4.8, -1.2308E-09, 4.5457E-09, 4.5457E-09, 1.2308E-09
DataValue, 5, -1.2519E-09, 4.6083E-09, 4.6083E-09, 1.2519E-09
DataValue, 0, -8.3968E-10, 4.4413000000000005E-10, 4.4413000000000005E-10, 8.3968E-10
DataValue, 0.2, -8.5354E-10, 4.3344E-09, 4.3344E-09, 8.5354E-10
DataValue, 0.4, -8.639500000000001E-10, 6.2544E-09, 6.2544E-09, 8.639500000000001E-10
DataValue, 0.6, -8.7691E-10, 7.1966E-09, 7.1966E-09, 8.7691E-10
DataValue, 0.8, -8.9115000000000007E-10, 7.722E-09, 7.722E-09, 8.9115000000000007E-10
DataValue, 1, -9.040500000000001E-10, 8.0141E-09, 8.0141E-09, 9.040500000000001E-10
DataValue, 1.2, -9.1762000000000008E-10, 8.2371E-09, 8.2371E-09, 9.1762000000000008E-10
DataValue, 1.4000000000000001, -9.3135E-10, 8.3687E-09, 8.3687E-09, 9.3135E-10
DataValue, 1.6, -9.4456E-10, 8.4953E-09, 8.4953E-09, 9.4456E-10
DataValue, 1.8, -9.5908000000000017E-10, 8.6024E-09, 8.6024E-09, 9.5908000000000017E-10
DataValue, 2, -9.7377E-10, 8.6953E-09, 8.6953E-09, 9.7377E-10
DataValue, 2.2, -9.8942E-10, 8.8204E-09, 8.8204E-09, 9.8942E-10
DataValue, 2.4, -1.00468E-09, 8.8909E-09, 8.8909E-09, 1.00468E-09
DataValue, 2.6, -1.01972E-09, 8.9877E-09, 8.9877E-09, 1.01972E-09
DataValue, 2.8000000000000003, -1.03638E-09, 9.0626E-09, 9.0626E-09, 1.03638E-09
DataValue, 3, -1.0517900000000002E-09, 9.1624E-09, 9.1624E-09, 1.0517900000000002E-09
DataValue, 3.2, -1.06831E-09, 9.2412E-09, 9.2412E-09, 1.06831E-09
DataValue, 3.4, -1.0853000000000002E-09, 9.3346E-09, 9.3346E-09, 1.0853000000000002E-09
DataValue, 3.6, -1.1023400000000002E-09, 9.393E-09, 9.393E-09, 1.1023400000000002E-09
DataValue, 3.8000000000000003, -1.1196000000000002E-09, 9.4856E-09, 9.4856E-09, 1.1196000000000002E-09
DataValue, 4, -1.13861E-09, 9.5398E-09, 9.5398E-09, 1.13861E-09
DataValue, 4.2, -1.1551E-09, 9.6722E-09, 9.6722E-09, 1.1551E-09
DataValue, 4.4, -1.1737E-09, 9.717E-09, 9.717E-09, 1.1737E-09
DataValue, 4.6000000000000005, -1.1925E-09, 9.7959E-09, 9.7959E-09, 1.1925E-09
DataValue, 4.8, -1.2112E-09, 9.8746E-09, 9.8746E-09, 1.2112E-09
DataValue, 5, -1.2312E-09, 9.9423E-09, 9.9423E-09, 1.2312E-09
DataValue, 0, -8.2353E-10, 4.3363000000000003E-10, 4.3363000000000003E-10, 8.2353E-10
DataValue, 0.2, -8.3492E-10, 8.3088E-09, 8.3088E-09, 8.3492E-10
DataValue, 0.4, -8.4638E-10, 1.2592799999999998E-08, 1.2592799999999998E-08, 8.4638E-10
DataValue, 0.6, -8.6015000000000007E-10, 1.4642799999999998E-08, 1.4642799999999998E-08, 8.6015000000000007E-10
DataValue, 0.8, -8.7257E-10, 1.5750399999999997E-08, 1.5750399999999997E-08, 8.7257E-10
DataValue, 1, -8.8494E-10, 1.6354399999999997E-08, 1.6354399999999997E-08, 8.8494E-10
DataValue, 1.2, -8.9963E-10, 1.6709599999999997E-08, 1.6709599999999997E-08, 8.9963E-10
DataValue, 1.4000000000000001, -9.122100000000001E-10, 1.6964599999999998E-08, 1.6964599999999998E-08, 9.122100000000001E-10
DataValue, 1.6, -9.2478000000000009E-10, 1.7107399999999997E-08, 1.7107399999999997E-08, 9.2478000000000009E-10
DataValue, 1.8, -9.3949E-10, 1.7272799999999998E-08, 1.7272799999999998E-08, 9.3949E-10
DataValue, 2, -9.5357E-10, 1.73878E-08, 1.73878E-08, 9.5357E-10
DataValue, 2.2, -9.6687E-10, 1.7496799999999997E-08, 1.7496799999999997E-08, 9.6687E-10
DataValue, 2.4, -9.8222000000000015E-10, 1.7560799999999997E-08, 1.7560799999999997E-08, 9.8222000000000015E-10
DataValue, 2.6, -9.9637000000000015E-10, 1.7700199999999997E-08, 1.7700199999999997E-08, 9.9637000000000015E-10
DataValue, 2.8000000000000003, -1.01179E-09, 1.7749399999999997E-08, 1.7749399999999997E-08, 1.01179E-09
DataValue, 3, -1.0267400000000001E-09, 1.7823799999999997E-08, 1.7823799999999997E-08, 1.0267400000000001E-09
DataValue, 3.2, -1.04219E-09, 1.79038E-08, 1.79038E-08, 1.04219E-09
DataValue, 3.4, -1.05693E-09, 1.7957199999999998E-08, 1.7957199999999998E-08, 1.05693E-09
DataValue, 3.6, -1.07284E-09, 1.80656E-08, 1.80656E-08, 1.07284E-09
DataValue, 3.8000000000000003, -1.0897E-09, 1.81512E-08, 1.81512E-08, 1.0897E-09
DataValue, 4, -1.10734E-09, 1.8173999999999998E-08, 1.8173999999999998E-08, 1.10734E-09
DataValue, 4.2, -1.12386E-09, 1.82586E-08, 1.82586E-08, 1.12386E-09
DataValue, 4.4, -1.1417100000000002E-09, 1.8336999999999997E-08, 1.8336999999999997E-08, 1.1417100000000002E-09
DataValue, 4.6000000000000005, -1.1634E-09, 1.84798E-08, 1.84798E-08, 1.1634E-09
DataValue, 4.8, -1.1781E-09, 1.8525E-08, 1.8525E-08, 1.1781E-09
DataValue, 5, -1.1968E-09, 1.85862E-08, 1.85862E-08, 1.1968E-09
DataValue, 0, -8.0116000000000005E-10, 4.2319E-10, 4.2319E-10, 8.0116000000000005E-10
DataValue, 0.2, -8.1316E-10, 1.38774E-08, 1.38774E-08, 8.1316E-10
DataValue, 0.4, -8.2782E-10, 2.1462599999999997E-08, 2.1462599999999997E-08, 8.2782E-10
DataValue, 0.6, -8.3958000000000011E-10, 2.5686E-08, 2.5686E-08, 8.3958000000000011E-10
DataValue, 0.8, -8.5131E-10, 2.7995599999999996E-08, 2.7995599999999996E-08, 8.5131E-10
